Front,Back
And it's going to be dot slash styles — Key point 4,But what I can do is use this upper level changes section here.
And it's going to be dot slash styles — Key point 5,"And I can stage all the files at the same time, which puts them inside of this staging area to be committed."
So you can see now I can use this minus button either up at the top le — TL;DR,"So you can see now I can use this minus button either up at the top level to unstage all my changes, or I can do each file individually."
So you can see now I can use this minus button either up at the top le — Key point 1,So let's just go ahead and do them individually since there's only two.
So you can see now I can use this minus button either up at the top le — Key point 2,"And so with these files here, you can see I have a couple other options as well."
So you can see now I can use this minus button either up at the top le — Key point 3,I can open the file.
So you can see now I can use this minus button either up at the top le — Key point 4,"So if I click on the file, I see the difference between the two versions."
So you can see now I can use this minus button either up at the top le — Key point 5,"So for example, if I look at the index HTML, you can see that here is what it started out as since I didn't have any file, there's nothing…."
"So basically the difference between when I started and where I'm at, s — TL;DR","So basically the difference between when I started and where I'm at, same thing with style CSS, there's nothing inside of here, which is why there's nothing he…"
"So basically the difference between when I started and where I'm at, s — Key point 1","So basically the difference between when I started and where I'm at, same thing with style CSS, there's nothing inside of here, which is wh…."
"So basically the difference between when I started and where I'm at, s — Key point 2",So let's go ahead and open the file.
"So basically the difference between when I started and where I'm at, s — Key point 3","So I can go ahead and click the little open file button here, which will open the file so I can edit it."
"So basically the difference between when I started and where I'm at, s — Key point 4",And what I'm gonna do is just go ahead and change the background color.
"So basically the difference between when I started and where I'm at, s — Key point 5",So I'll just say body.
"So basically the difference between when I started and where I'm at, s — Key point 6","And we'll just change the background color to, we'll just pick one of these colors here, we'll change it to beige."
file looked like at your last commit — TL;DR,file looked like at your last commit.
file looked like at your last commit — Key point 1,"All right, so now that we have our two files, we can go ahead and commit our changes."
file looked like at your last commit — Key point 2,So this is when we're ready to make a snapshot of these files at a particular point in time.
file looked like at your last commit — Key point 3,And so I'm happy with my index file.
file looked like at your last commit — Key point 4,I'm happy with my CSS.
file looked like at your last commit — Key point 5,I can actually preview this in my browser using my little extension that I have installed here.
button here — TL;DR,button here.
button here — Key point 1,And so this would be the equivalent of running git commit dash m.
button here — Key point 2,"And then in quotes, it would be initial commit."
button here — Key point 3,"And basically, this command is equivalent to typing this in the box and clicking commit."
button here — Key point 4,So I'm going to go ahead and just delete this here.
And I'm going to go ahead and commit these changes to my main branch — TL;DR,And I'm going to go ahead and commit these changes to my main branch.
And I'm going to go ahead and commit these changes to my main branch — Key point 1,So you can see that right down here.
And I'm going to go ahead and commit these changes to my main branch — Key point 2,"Now before we look at modifying these files to see what that looks like in VS Code, I wanted to point out this menu right here on the top o…."
And I'm going to go ahead and commit these changes to my main branch — Key point 3,And what this does is it gives you some options for some different views.
And I'm going to go ahead and commit these changes to my main branch — Key point 4,"We can see some incoming changes and outgoing changes if we were connected to a remote repository, along with our various push, pull, clone…."
And I'm going to go ahead and commit these changes to my main branch — Key point 5,So it's all right here inside of this menu.
So what I can do is go ahead and click undo last commit — TL;DR,So what I can do is go ahead and click undo last commit.
So what I can do is go ahead and click undo last commit — Key point 1,And you can see that it undid that commit.
So what I can do is go ahead and click undo last commit — Key point 2,And here are the changes in their modified state.
So what I can do is go ahead and click undo last commit — Key point 3,So you can see they have the little you back means basically meaning that they're untracked.
So what I can do is go ahead and click undo last commit — Key point 4,They're not staged anymore.
So what I can do is go ahead and click undo last commit — Key point 5,"And let's just say instead of my background color being beige,."
let's go ahead and make it Azure — TL;DR,let's go ahead and make it Azure.
let's go ahead and make it Azure — Key point 1,"And then what we can do, I'll go ahead and use that menu again to just commit all of these changes."
let's go ahead and make it Azure — Key point 2,So we'll stage and commit them at the same time.
let's go ahead and make it Azure — Key point 3,"So what I'm going to go ahead and do is click on commit, and then commit all."
let's go ahead and make it Azure — Key point 4,And you can see that stage my changes and committed them with the message that was already inside of the box.
let's go ahead and make it Azure — Key point 5,"So when I undid the change, it put my commit message back."
Now let's go ahead and jump back to our file explorer and just make a — TL;DR,Now let's go ahead and jump back to our file explorer and just make a small change to our index HTML.
Now let's go ahead and jump back to our file explorer and just make a — Key point 1,"So let's just say on this hello from VS code and get, I wanted to add a few exclamation points."
Now let's go ahead and jump back to our file explorer and just make a — Key point 2,I'm going to add those exclamation points and save.
Now let's go ahead and jump back to our file explorer and just make a — Key point 3,"And notice how instead of a you like we had before for the untracked file, since this file is now tracked by get, get knows about it, it kn…."
Now let's go ahead and jump back to our file explorer and just make a — Key point 4,"So you can see that it puts this little m, which stands for modified."
"So if I go back here and see in the source control panel, again, there — TL;DR","So if I go back here and see in the source control panel, again, there's the m for modified."
"So if I go back here and see in the source control panel, again, there — Key point 1","And then if I click on the file this time, you can see this is what the file looked like at my last commit."
"So if I go back here and see in the source control panel, again, there — Key point 2",So I didn't have the exclamation points.
"So if I go back here and see in the source control panel, again, there — Key point 3","And then on the right hand side, you can see that this is what it looks like currently before I've committed the change."
"So if I go back here and see in the source control panel, again, there — Key point 4",And you can see that we've added the exclamation points here.
"So if I go back here and see in the source control panel, again, there — Key point 5","So similar to what I did before, I need to go ahead and stage my change."
"I can use this little drop down for commit, commit and push or commit — TL;DR","I can use this little drop down for commit, commit and push or commit and sync if I was connected to get help, which I'm currently am not."
"I can use this little drop down for commit, commit and push or commit — Key point 1",So I'll go ahead and just click the blue commit button.
"I can use this little drop down for commit, commit and push or commit — Key point 2",And there we go.
"I can use this little drop down for commit, commit and push or commit — Key point 3",So now I have committed that change.
"I can use this little drop down for commit, commit and push or commit — Key point 4",And now I have two commits on my repository.
"I can use this little drop down for commit, commit and push or commit — Key point 5",The next thing that we're going to look at is how to stash changes with VS code.
And let's just say that I need to work on something else and I'm not q — TL;DR,And let's just say that I need to work on something else and I'm not quite ready to commit this change.
And let's just say that I need to work on something else and I'm not q — Key point 1,I can basically store this file in a temporary location and then retrieve it back when I'm ready to do so.
And let's just say that I need to work on something else and I'm not q — Key point 2,And this concept is known as a stash inside of git and you usually run the git stash command.
And let's just say that I need to work on something else and I'm not q — Key point 3,"So if I run git stash, that will basically save that working directory in a specific state."
And let's just say that I need to work on something else and I'm not q — Key point 4,And you can see I don't have that change anymore and my exclamation points are gone.
And let's just say that I need to work on something else and I'm not q — Key point 5,So we can do that with VS code without having to memorize the git stash command.
